name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Bespoke Beauty Studio,2302 Aspin Commercial Tower Financial Cente - Sheikh Zayed Rd - Dubai - United Arab Emirates,bespokebeautystudio.com,+971 4 388 7877,708,4.4,25.1913589,54.9786487
Fadi Rashwani Boutique Beauty salon CO.L.L.c,"Souk Tamarhind, Yansoon 9 - Sheikh Mohammed bin Rashid Blvd - near Al Manzil Hotel - Downtown Dubai - Yansoon - Dubai - United Arab Emirates",,+971 50 115 5874,145,4.9,25.1913589,54.9786487
Insta Beauty Salon,Westburry Office tower - Dubai - United Arab Emirates,taplink.cc,+971 50 904 0419,115,4.7,25.1913589,54.9786487
Beauty Box Ladies Salon,"3004, Building 3 - Gold and Diamond Park - Sheikh Zayed Rd - Dubai - United Arab Emirates",beautyboxuae.com,+971 4 554 6795,89,4.5,25.1913589,54.9786487
Deluxe Beauty Women Salon,"office 102, Ruby II building - Umm Al Sheif - Dubai - United Arab Emirates",instagram.com,+971 52 454 7879,257,4.8,25.1913589,54.9786487
Identity Ladies Beauty Lounge | Beauty Lounge Dubai,Hamilton Residency - Marasi Dr - Business Bay - Dubai - United Arab Emirates,identitybeautyloungeuae.com,+971 4 453 9595,99,4.7,25.1913589,54.9786487
NStyle Beauty Lounge | Nail Salons Dubai,"Dubai Mall, 1st Level Downtown - Dubai - United Arab Emirates",nstyleintl.com,+971 4 339 8414,1350,4.5,25.1913589,54.9786487
Beauty Bay Salon & Spa,Dubai Silicon Oasis - Dubai - United Arab Emirates,,+971 4 288 2007,149,4.4,25.1913589,54.9786487
Beauty Avenue Ladies Salon,"Shop No 8, Building Zen 1 Street 1 - Discovery Gardens - Dubai - United Arab Emirates",,+971 4 442 8775,294,4.8,25.0491337,54.8403148
NStyle Beauty Lounge,Dubai Marina Mall - Lower Ground - Sheikh Zayed Rd - Dubai - United Arab Emirates,nstyleintl.com,+971 4 434 2616,886,4.4,25.0491337,54.8403148
BIJI Ladies Beauty Salon,Al Amal St - Business Bay - Dubai - United Arab Emirates,bijibeauty.ae,+971 52 977 0786,87,4.9,25.0491337,54.8403148
googoosh beauty,"office side, millennium executive tower - Dubai Sheikh Zayed Road emirates tower metro station - flat number 803 - Dubai - United Arab Emirates",,+971 50 158 3030,98,4.7,25.2185018,54.9896479
La Julieta Beauty Center - Satwa Dubai,Villa 31 - 31 8A St - Al Bada'a - Dubai - United Arab Emirates,lajulietabeautydxb.ae,+971 50 297 2783,12,4.6,25.2185018,54.9896479
Shade beauty center,6727+7Q6 - Al Wasl - Dubai - United Arab Emirates,instagram.com,+971 4 252 4459,225,4.1,25.2185018,54.9896479
ELC BEAUTY SALOON,"Al Fattan Downtown Towers, Shop No 2 - Dubai - United Arab Emirates",lebeautycenter.com,+971 50 807 0107,124,4.9,25.2185018,54.9896479
Yasna Beauty Salon,Burj Vista Towers - level 2 Sheikh Mohammed bin Rashid Blvd - across Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,yasnabeauty.com,+971 58 567 0013,212,4.4,25.2185018,54.9896479
PhiStudio Dubai,Villa G3-U5 - Al Wasl Rd - Dubai - United Arab Emirates,phistudiodubai.com,+971 50 355 6484,706,4.8,25.2185018,54.9896479
Stella Beauty Salon,Silicon Gates - 1 Bldg 1st Floor - Dubai Silicon Oasis - Dubai - United Arab Emirates,lamaisonstella.com,+971 4 333 9080,297,4.4,25.2185018,54.9896479
MIKE ALAM BEAUTY,Emirates Financial Towers - Trade Centre - DIFC - Dubai - United Arab Emirates,mikealambeauty.com,+971 50 201 8562,308,4.8,25.2185018,54.9896479
